source_country,destination_country,source_airport,destination_airport,source_lat,source_lon,destination_lat,destination_lon,num_direct_flights,num_connecting_flights,distance_km
Australia,United States,Sydney Kingsford Smith International Airport,Dallas Fort Worth International Airport,-33.94609833,151.177002,32.896801,-97.038002,2,0,13808.17825
South Africa,United States,OR Tambo International Airport,Hartsfield Jackson Atlanta International Airport,-26.1392,28.246,33.6367,-84.428101,1,0,13582.58788
United States,South Africa,Hartsfield Jackson Atlanta International Airport,OR Tambo International Airport,33.6367,-84.428101,-26.1392,28.246,1,0,13582.58788
United Arab Emirates,United States,Dubai International Airport,Los Angeles International Airport,25.25279999,55.36439896,33.94250107,-118.4079971,2,0,13400.07703
United States,United Arab Emirates,Los Angeles International Airport,Dubai International Airport,33.94250107,-118.4079971,25.25279999,55.36439896,2,0,13400.07703
Saudi Arabia,United States,King Abdulaziz International Airport,Los Angeles International Airport,21.6796,39.156502,33.94250107,-118.4079971,1,0,13389.82006
United States,Saudi Arabia,Los Angeles International Airport,King Abdulaziz International Airport,33.94250107,-118.4079971,21.6796,39.156502,1,0,13389.82006
United States,Australia,Dallas Fort Worth International Airport,Brisbane International Airport,32.896801,-97.038002,-27.38419914,153.1170044,2,0,13364.85465
United Arab Emirates,United States,Dubai International Airport,George Bush Intercontinental Houston Airport,25.25279999,55.36439896,29.9843998,-95.34140015,2,0,13124.81455
United States,United Arab Emirates,George Bush Intercontinental Houston Airport,Dubai International Airport,29.9843998,-95.34140015,25.25279999,55.36439896,2,0,13124.81455
United Arab Emirates,United States,Dubai International Airport,San Francisco International Airport,25.25279999,55.36439896,37.61899948,-122.375,2,0,13020.07123
United States,United Arab Emirates,San Francisco International Airport,Dubai International Airport,37.61899948,-122.375,25.25279999,55.36439896,2,0,13020.07123
United States,Hong Kong,John F Kennedy International Airport,Hong Kong International Airport,40.63980103,-73.77890015,22.308901,113.915001,2,0,12970.38106
Hong Kong,United States,Hong Kong International Airport,John F Kennedy International Airport,22.308901,113.915001,40.63980103,-73.77890015,2,0,12970.38106
United States,Hong Kong,Newark Liberty International Airport,Hong Kong International Airport,40.69250107,-74.16870117,22.308901,113.915001,3,0,12959.91172
Hong Kong,United States,Hong Kong International Airport,Newark Liberty International Airport,22.308901,113.915001,40.69250107,-74.16870117,3,0,12959.91172
Qatar,United States,Hamad International Airport,George Bush Intercontinental Houston Airport,25.273056,51.608056,29.9843998,-95.34140015,3,0,12932.53786
United States,Qatar,George Bush Intercontinental Houston Airport,Hamad International Airport,29.9843998,-95.34140015,25.273056,51.608056,3,0,12932.53786
United Arab Emirates,United States,Dubai International Airport,Dallas Fort Worth International Airport,25.25279999,55.36439896,32.896801,-97.038002,2,0,12919.38863
United States,United Arab Emirates,Dallas Fort Worth International Airport,Dubai International Airport,32.896801,-97.038002,25.25279999,55.36439896,2,0,12919.38863
South Africa,United States,OR Tambo International Airport,John F Kennedy International Airport,-26.1392,28.246,40.63980103,-73.77890015,4,0,12831.32665
United States,South Africa,John F Kennedy International Airport,OR Tambo International Airport,40.63980103,-73.77890015,-26.1392,28.246,4,0,12831.32665
United States,Australia,Los Angeles International Airport,Melbourne International Airport,33.94250107,-118.4079971,-37.673302,144.843002,4,0,12757.89695
Australia,United States,Melbourne International Airport,Los Angeles International Airport,-37.673302,144.843002,33.94250107,-118.4079971,4,0,12757.89695
Canada,Hong Kong,Lester B. Pearson International Airport,Hong Kong International Airport,43.67720032,-79.63059998,22.308901,113.915001,2,0,12548.52925
Hong Kong,Canada,Hong Kong International Airport,Lester B. Pearson International Airport,22.308901,113.915001,43.67720032,-79.63059998,2,0,12548.52925
United States,India,Newark Liberty International Airport,Chhatrapati Shivaji International Airport,40.69250107,-74.16870117,19.08869934,72.86789703,2,0,12545.8292
India,United States,Chhatrapati Shivaji International Airport,Newark Liberty International Airport,19.08869934,72.86789703,40.69250107,-74.16870117,2,0,12545.8292
United States,Taiwan,John F Kennedy International Airport,Taiwan Taoyuan International Airport,40.63980103,-73.77890015,25.0777,121.233002,1,0,12544.61665
Taiwan,United States,Taiwan Taoyuan International Airport,John F Kennedy International Airport,25.0777,121.233002,40.63980103,-73.77890015,1,0,12544.61665
United States,Hong Kong,Chicago O'Hare International Airport,Hong Kong International Airport,41.9786,-87.9048,22.308901,113.915001,3,0,12522.53625
Hong Kong,United States,Hong Kong International Airport,Chicago O'Hare International Airport,22.308901,113.915001,41.9786,-87.9048,3,0,12522.53625
Canada,Australia,Vancouver International Airport,Sydney Kingsford Smith International Airport,49.19390106,-123.1839981,-33.94609833,151.177002,1,0,12500.95213
Australia,Canada,Sydney Kingsford Smith International Airport,Vancouver International Airport,-33.94609833,151.177002,49.19390106,-123.1839981,1,0,12500.95213
Brazil,United Arab Emirates,Guarulhos - Governador André Franco Montoro International Airport,Dubai International Airport,-23.43555641,-46.47305679,25.25279999,55.36439896,1,0,12217.06283
United Arab Emirates,Brazil,Dubai International Airport,Guarulhos - Governador André Franco Montoro International Airport,25.25279999,55.36439896,-23.43555641,-46.47305679,1,0,12217.06283
United Arab Emirates,United States,Dubai International Airport,Hartsfield Jackson Atlanta International Airport,25.25279999,55.36439896,33.6367,-84.428101,1,0,12209.3836
United States,United Arab Emirates,Hartsfield Jackson Atlanta International Airport,Dubai International Airport,33.6367,-84.428101,25.25279999,55.36439896,1,0,12209.3836
Israel,United States,Ben Gurion International Airport,Los Angeles International Airport,32.01139832,34.88669968,33.94250107,-118.4079971,1,0,12166.56957
United States,Israel,Los Angeles International Airport,Ben Gurion International Airport,33.94250107,-118.4079971,32.01139832,34.88669968,1,0,12166.56957
Brazil,United Arab Emirates,Guarulhos - Governador André Franco Montoro International Airport,Abu Dhabi International Airport,-23.43555641,-46.47305679,24.43300056,54.65110016,1,0,12120.96349
United Arab Emirates,Brazil,Abu Dhabi International Airport,Guarulhos - Governador André Franco Montoro International Airport,24.43300056,54.65110016,-23.43555641,-46.47305679,1,0,12120.96349
Canada,Taiwan,Lester B. Pearson International Airport,Taiwan Taoyuan International Airport,43.67720032,-79.63059998,25.0777,121.233002,1,0,12078.77416
Taiwan,Canada,Taiwan Taoyuan International Airport,Lester B. Pearson International Airport,25.0777,121.233002,43.67720032,-79.63059998,1,0,12078.77416
United Arab Emirates,Australia,Abu Dhabi International Airport,Sydney Kingsford Smith International Airport,24.43300056,54.65110016,-33.94609833,151.177002,3,0,12061.35426
Australia,United Arab Emirates,Sydney Kingsford Smith International Airport,Abu Dhabi International Airport,-33.94609833,151.177002,24.43300056,54.65110016,3,0,12061.35426
United States,Australia,Los Angeles International Airport,Sydney Kingsford Smith International Airport,33.94250107,-118.4079971,-33.94609833,151.177002,6,0,12061.12784
Australia,United States,Sydney Kingsford Smith International Airport,Los Angeles International Airport,-33.94609833,151.177002,33.94250107,-118.4079971,6,0,12061.12784
United Arab Emirates,Australia,Dubai International Airport,Sydney Kingsford Smith International Airport,25.25279999,55.36439896,-33.94609833,151.177002,2,0,12043.87952
Australia,United Arab Emirates,Sydney Kingsford Smith International Airport,Dubai International Airport,-33.94609833,151.177002,25.25279999,55.36439896,2,0,12043.87952
India,United States,Indira Gandhi International Airport,Chicago O'Hare International Airport,28.5665,77.103104,41.9786,-87.9048,1,0,12021.27588
United States,India,Chicago O'Hare International Airport,Indira Gandhi International Airport,41.9786,-87.9048,28.5665,77.103104,1,0,12021.27588
United Arab Emirates,Australia,Dubai International Airport,Brisbane International Airport,25.25279999,55.36439896,-27.38419914,153.1170044,2,0,11979.18928
Australia,United Arab Emirates,Brisbane International Airport,Dubai International Airport,-27.38419914,153.1170044,25.25279999,55.36439896,2,0,11979.18928
Qatar,Australia,Hamad International Airport,Melbourne International Airport,25.273056,51.608056,-37.673302,144.843002,1,0,11957.51406
Australia,Qatar,Melbourne International Airport,Hamad International Airport,-37.673302,144.843002,25.273056,51.608056,1,0,11957.51406
United States,Australia,San Francisco International Airport,Sydney Kingsford Smith International Airport,37.61899948,-122.375,-33.94609833,151.177002,2,0,11949.74277
Australia,United States,Sydney Kingsford Smith International Airport,San Francisco International Airport,-33.94609833,151.177002,37.61899948,-122.375,2,0,11949.74277
United Arab Emirates,United States,Dubai International Airport,Seattle Tacoma International Airport,25.25279999,55.36439896,47.449001,-122.308998,2,0,11927.6513
United States,United Arab Emirates,Seattle Tacoma International Airport,Dubai International Airport,47.449001,-122.308998,25.25279999,55.36439896,2,0,11927.6513
Brazil,United Arab Emirates,Rio Galeão – Tom Jobim International Airport,Dubai International Airport,-22.80999947,-43.25055695,25.25279999,55.36439896,1,0,11883.86741
United Arab Emirates,Brazil,Dubai International Airport,Rio Galeão – Tom Jobim International Airport,25.25279999,55.36439896,-22.80999947,-43.25055695,1,0,11883.86741
United States,China,John F Kennedy International Airport,Shanghai Pudong International Airport,40.63980103,-73.77890015,31.14340019,121.8050003,2,0,11873.66461
China,United States,Shanghai Pudong International Airport,John F Kennedy International Airport,31.14340019,121.8050003,40.63980103,-73.77890015,2,0,11873.66461
United States,China,Newark Liberty International Airport,Shanghai Pudong International Airport,40.69250107,-74.16870117,31.14340019,121.8050003,2,0,11859.9909
China,United States,Shanghai Pudong International Airport,Newark Liberty International Airport,31.14340019,121.8050003,40.69250107,-74.16870117,2,0,11859.9909
Qatar,Brazil,Hamad International Airport,Guarulhos - Governador André Franco Montoro International Airport,25.273056,51.608056,-23.43555641,-46.47305679,1,0,11858.32152
Brazil,Qatar,Guarulhos - Governador André Franco Montoro International Airport,Hamad International Airport,-23.43555641,-46.47305679,25.273056,51.608056,1,0,11858.32152
China,Angola,Beijing Capital International Airport,Quatro de Fevereiro Airport,40.08010101,116.5849991,-8.85837,13.2312,1,0,11774.23567
Angola,China,Quatro de Fevereiro Airport,Beijing Capital International Airport,-8.85837,13.2312,40.08010101,116.5849991,1,0,11774.23567
United States,India,Newark Liberty International Airport,Indira Gandhi International Airport,40.69250107,-74.16870117,28.5665,77.103104,1,0,11763.7353
India,United States,Indira Gandhi International Airport,Newark Liberty International Airport,28.5665,77.103104,40.69250107,-74.16870117,1,0,11763.7353
United States,India,John F Kennedy International Airport,Indira Gandhi International Airport,40.63980103,-73.77890015,28.5665,77.103104,1,0,11754.48392
India,United States,Indira Gandhi International Airport,John F Kennedy International Airport,28.5665,77.103104,40.63980103,-73.77890015,1,0,11754.48392
Philippines,United States,Ninoy Aquino International Airport,Los Angeles International Airport,14.5086,121.019997,33.94250107,-118.4079971,1,0,11740.14488
United States,Philippines,Los Angeles International Airport,Ninoy Aquino International Airport,33.94250107,-118.4079971,14.5086,121.019997,1,0,11740.14488
China,South Africa,Beijing Capital International Airport,OR Tambo International Airport,40.08010101,116.5849991,-26.1392,28.246,2,0,11707.9715
United Arab Emirates,United States,Abu Dhabi International Airport,Chicago O'Hare International Airport,24.43300056,54.65110016,41.9786,-87.9048,2,0,11687.89363
United States,United Arab Emirates,Chicago O'Hare International Airport,Abu Dhabi International Airport,41.9786,-87.9048,24.43300056,54.65110016,2,0,11687.89363
Chile,France,Comodoro Arturo Merino Benítez International Airport,Charles de Gaulle International Airport,-33.39300156,-70.78579712,49.012798,2.55,2,0,11672.84994
France,Chile,Charles de Gaulle International Airport,Comodoro Arturo Merino Benítez International Airport,49.012798,2.55,-33.39300156,-70.78579712,2,0,11672.84994
Pakistan,Canada,Jinnah International Airport,Lester B. Pearson International Airport,24.9065,67.160797,43.67720032,-79.63059998,1,0,11670.12317
Canada,Pakistan,Lester B. Pearson International Airport,Jinnah International Airport,43.67720032,-79.63059998,24.9065,67.160797,1,0,11670.12317
Hong Kong,United States,Hong Kong International Airport,Los Angeles International Airport,22.308901,113.915001,33.94250107,-118.4079971,2,0,11664.47265
United States,Hong Kong,Los Angeles International Airport,Hong Kong International Airport,33.94250107,-118.4079971,22.308901,113.915001,2,0,11664.47265
United Arab Emirates,Australia,Abu Dhabi International Airport,Melbourne International Airport,24.43300056,54.65110016,-37.673302,144.843002,3,0,11651.65057
Australia,United Arab Emirates,Melbourne International Airport,Abu Dhabi International Airport,-37.673302,144.843002,24.43300056,54.65110016,3,0,11651.65057
United Arab Emirates,Australia,Dubai International Airport,Melbourne International Airport,25.25279999,55.36439896,-37.673302,144.843002,2,0,11645.11064
Australia,United Arab Emirates,Melbourne International Airport,Dubai International Airport,-37.673302,144.843002,25.25279999,55.36439896,2,0,11645.11064
China,United States,Guangzhou Baiyun International Airport,Los Angeles International Airport,23.39240074,113.2990036,33.94250107,-118.4079971,2,0,11618.35645
United States,China,Los Angeles International Airport,Guangzhou Baiyun International Airport,33.94250107,-118.4079971,23.39240074,113.2990036,2,0,11618.35645
United States,Ethiopia,Washington Dulles International Airport,Addis Ababa Bole International Airport,38.94449997,-77.45580292,8.977890015,38.79930115,1,0,11563.13923
United States,China,George Bush Intercontinental Houston Airport,Beijing Capital International Airport,29.9843998,-95.34140015,40.08010101,116.5849991,2,0,11556.30483
China,United States,Beijing Capital International Airport,George Bush Intercontinental Houston Airport,40.08010101,116.5849991,29.9843998,-95.34140015,2,0,11556.30483
United States,Australia,Los Angeles International Airport,Brisbane International Airport,33.94250107,-118.4079971,-27.38419914,153.1170044,4,0,11533.39534
Australia,United States,Brisbane International Airport,Los Angeles International Airport,-27.38419914,153.1170044,33.94250107,-118.4079971,4,0,11533.39534
Argentina,Germany,Ministro Pistarini International Airport,Frankfurt am Main Airport,-34.8222,-58.5358,50.033333,8.570556,1,0,11502.55731
Germany,Argentina,Frankfurt am Main Airport,Ministro Pistarini International Airport,50.033333,8.570556,-34.8222,-58.5358,1,0,11502.55731
Canada,Ethiopia,Lester B. Pearson International Airport,Addis Ababa Bole International Airport,43.67720032,-79.63059998,8.977890015,38.79930115,1,0,11501.40313
United States,South Korea,Hartsfield Jackson Atlanta International Airport,Incheon International Airport,33.6367,-84.428101,37.46910095,126.4509964,2,0,11487.12971
South Korea,United States,Incheon International Airport,Hartsfield Jackson Atlanta International Airport,37.46910095,126.4509964,33.6367,-84.428101,2,0,11487.12971
Argentina,Netherlands,Ministro Pistarini International Airport,Amsterdam Airport Schiphol,-34.8222,-58.5358,52.308601,4.76389,1,0,11462.16417
Netherlands,Argentina,Amsterdam Airport Schiphol,Ministro Pistarini International Airport,52.308601,4.76389,-34.8222,-58.5358,1,0,11462.16417
United States,China,Detroit Metropolitan Wayne County Airport,Shanghai Pudong International Airport,42.21239853,-83.35340118,31.14340019,121.8050003,3,0,11461.84745
China,United States,Shanghai Pudong International Airport,Detroit Metropolitan Wayne County Airport,31.14340019,121.8050003,42.21239853,-83.35340118,3,0,11461.84745
Qatar,United States,Hamad International Airport,Chicago O'Hare International Airport,25.273056,51.608056,41.9786,-87.9048,2,0,11458.09056
United States,Qatar,Chicago O'Hare International Airport,Hamad International Airport,41.9786,-87.9048,25.273056,51.608056,2,0,11458.09056
Canada,China,Lester B. Pearson International Airport,Shanghai Pudong International Airport,43.67720032,-79.63059998,31.14340019,121.8050003,2,0,11414.35597
China,Canada,Shanghai Pudong International Airport,Lester B. Pearson International Airport,31.14340019,121.8050003,43.67720032,-79.63059998,2,0,11414.35597
United Arab Emirates,United States,Abu Dhabi International Airport,Washington Dulles International Airport,24.43300056,54.65110016,38.94449997,-77.45580292,2,0,11386.79098
United States,United Arab Emirates,Washington Dulles International Airport,Abu Dhabi International Airport,38.94449997,-77.45580292,24.43300056,54.65110016,2,0,11386.79098
Canada,New Zealand,Vancouver International Airport,Auckland International Airport,49.19390106,-123.1839981,-37.0080986,174.7920074,2,0,11360.7799
United Arab Emirates,United States,Dubai International Airport,Washington Dulles International Airport,25.25279999,55.36439896,38.94449997,-77.45580292,3,0,11355.26176
United States,United Arab Emirates,Washington Dulles International Airport,Dubai International Airport,38.94449997,-77.45580292,25.25279999,55.36439896,3,0,11355.26176
United States,Pakistan,John F Kennedy International Airport,Alama Iqbal International Airport,40.63980103,-73.77890015,31.52160072,74.4036026,1,0,11349.85537
United States,South Korea,George Bush Intercontinental Houston Airport,Incheon International Airport,29.9843998,-95.34140015,37.46910095,126.4509964,1,0,11345.84326
South Korea,United States,Incheon International Airport,George Bush Intercontinental Houston Airport,37.46910095,126.4509964,29.9843998,-95.34140015,1,0,11345.84326
Chile,Australia,Comodoro Arturo Merino Benítez International Airport,Sydney Kingsford Smith International Airport,-33.39300156,-70.78579712,-33.94609833,151.177002,2,0,11340.34398
Australia,Chile,Sydney Kingsford Smith International Airport,Comodoro Arturo Merino Benítez International Airport,-33.94609833,151.177002,-33.39300156,-70.78579712,2,0,11340.34398
United States,China,Chicago O'Hare International Airport,Shanghai Pudong International Airport,41.9786,-87.9048,31.14340019,121.8050003,5,0,11333.97324
China,United States,Shanghai Pudong International Airport,Chicago O'Hare International Airport,31.14340019,121.8050003,41.9786,-87.9048,5,0,11333.97324
Turkey,Panama,Sinop Airport,Marcos A. Gelabert International Airport,42.01580048,35.06639862,8.973340034,-79.55560303,1,0,11299.18392
Japan,Mexico,Narita International Airport,Licenciado Benito Juarez International Airport,35.76470184,140.3860016,19.4363,-99.072098,1,0,11253.73072
Pakistan,Canada,Alama Iqbal International Airport,Lester B. Pearson International Airport,31.52160072,74.4036026,43.67720032,-79.63059998,1,0,11246.41376
Canada,Pakistan,Lester B. Pearson International Airport,Alama Iqbal International Airport,43.67720032,-79.63059998,31.52160072,74.4036026,1,0,11246.41376
Philippines,United States,Ninoy Aquino International Airport,San Francisco International Airport,14.5086,121.019997,37.61899948,-122.375,1,0,11228.62571
United States,Philippines,San Francisco International Airport,Ninoy Aquino International Airport,37.61899948,-122.375,14.5086,121.019997,1,0,11228.62571
United States,South Korea,Washington Dulles International Airport,Incheon International Airport,38.94449997,-77.45580292,37.46910095,126.4509964,2,0,11173.25003
South Korea,United States,Incheon International Airport,Washington Dulles International Airport,37.46910095,126.4509964,38.94449997,-77.45580292,2,0,11173.25003
Argentina,Italy,Ministro Pistarini International Airport,Leonardo da Vinci–Fiumicino Airport,-34.8222,-58.5358,41.8002778,12.2388889,2,0,11154.76842
Italy,Argentina,Leonardo da Vinci–Fiumicino Airport,Ministro Pistarini International Airport,41.8002778,12.2388889,-34.8222,-58.5358,2,0,11154.76842
United States,Japan,John F Kennedy International Airport,Kansai International Airport,40.63980103,-73.77890015,34.4272995,135.2440033,1,0,11154.71365
Japan,United States,Kansai International Airport,John F Kennedy International Airport,34.4272995,135.2440033,40.63980103,-73.77890015,1,0,11154.71365
United Kingdom,Argentina,London Heathrow Airport,Ministro Pistarini International Airport,51.4706,-0.461941,-34.8222,-58.5358,1,0,11136.56416
Argentina,United Kingdom,Ministro Pistarini International Airport,London Heathrow Airport,-34.8222,-58.5358,51.4706,-0.461941,1,0,11136.56416
Hong Kong,United States,Hong Kong International Airport,San Francisco International Airport,22.308901,113.915001,37.61899948,-122.375,6,0,11128.14657
United States,Hong Kong,San Francisco International Airport,Hong Kong International Airport,37.61899948,-122.375,22.308901,113.915001,6,0,11128.14657
Qatar,United States,Hamad International Airport,Washington Dulles International Airport,25.273056,51.608056,38.94449997,-77.45580292,2,0,11127.3398
United States,Qatar,Washington Dulles International Airport,Hamad International Airport,38.94449997,-77.45580292,25.273056,51.608056,2,0,11127.3398
United Arab Emirates,Canada,Abu Dhabi International Airport,Lester B. Pearson International Airport,24.43300056,54.65110016,43.67720032,-79.63059998,2,0,11122.33039
Canada,United Arab Emirates,Lester B. Pearson International Airport,Abu Dhabi International Airport,43.67720032,-79.63059998,24.43300056,54.65110016,2,0,11122.33039
United States,China,Washington Dulles International Airport,Beijing Capital International Airport,38.94449997,-77.45580292,40.08010101,116.5849991,2,0,11112.76375
China,United States,Beijing Capital International Airport,Washington Dulles International Airport,40.08010101,116.5849991,38.94449997,-77.45580292,2,0,11112.76375
Argentina,France,Ministro Pistarini International Airport,Charles de Gaulle International Airport,-34.8222,-58.5358,49.012798,2.55,2,0,11100.50224
France,Argentina,Charles de Gaulle International Airport,Ministro Pistarini International Airport,49.012798,2.55,-34.8222,-58.5358,2,0,11100.50224
United States,South Korea,John F Kennedy International Airport,Incheon International Airport,40.63980103,-73.77890015,37.46910095,126.4509964,4,0,11088.79043
South Korea,United States,Incheon International Airport,John F Kennedy International Airport,37.46910095,126.4509964,40.63980103,-73.77890015,4,0,11088.79043
United Arab Emirates,Canada,Dubai International Airport,Lester B. Pearson International Airport,25.25279999,55.36439896,43.67720032,-79.63059998,1,0,11082.1902
Canada,United Arab Emirates,Lester B. Pearson International Airport,Dubai International Airport,43.67720032,-79.63059998,25.25279999,55.36439896,1,0,11082.1902
Turkey,United States,Atatürk International Airport,Los Angeles International Airport,40.976898,28.8146,33.94250107,-118.4079971,2,0,11034.23527
United States,Turkey,Los Angeles International Airport,Atatürk International Airport,33.94250107,-118.4079971,40.976898,28.8146,2,0,11034.23527
United Arab Emirates,United States,Abu Dhabi International Airport,John F Kennedy International Airport,24.43300056,54.65110016,40.63980103,-73.77890015,2,0,11031.39792
United States,United Arab Emirates,John F Kennedy International Airport,Abu Dhabi International Airport,40.63980103,-73.77890015,24.43300056,54.65110016,2,0,11031.39792
South Africa,Australia,OR Tambo International Airport,Sydney Kingsford Smith International Airport,-26.1392,28.246,-33.94609833,151.177002,2,0,11023.82347
Australia,South Africa,Sydney Kingsford Smith International Airport,OR Tambo International Airport,-33.94609833,151.177002,-26.1392,28.246,2,0,11023.82347
United Arab Emirates,Australia,Dubai International Airport,Adelaide International Airport,25.25279999,55.36439896,-34.945,138.531006,2,0,11006.46129
Australia,United Arab Emirates,Adelaide International Airport,Dubai International Airport,-34.945,138.531006,25.25279999,55.36439896,2,0,11006.46129
